สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
ออสเตรเลีย,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
     (1.6) ผลไม้จำพวกส้ม สด,,,,0.0,,,,,,,,0.00
     (1.7) เงาะสด,0.0,,,,-72.29,,,,0.00,,,
     (1.8) มังคุดสด,24.8,17.5,17.5,2.6,-23.75,-29.54,-29.54,-85.26,0.01,0.01,0.01,0.00
     (1.9) สับปะรดสด,0.8,0.5,0.5,0.4,113.74,-36.16,-24.93,-20.79,0.00,0.00,0.00,0.00
     (1.10) ผลไม้สดอื่น ๆ,50.0,60.5,58.4,45.5,11.75,20.84,24.73,-22.14,0.01,0.02,0.02,0.02
    (2) ผลไม้แช่แข็ง,150.9,135.4,121.5,69.8,25.35,-10.28,-14.12,-42.50,0.04,0.04,0.04,0.02
     (2.1) สับปะรดแช่เย็นจนแข็ง,10.6,46.5,41.3,8.4,20.26,339.45,886.09,-79.70,0.00,0.01,0.01,0.00
     (2.2) ทุเรียนแช่เย็นจนแข็ง,133.7,83.1,74.4,57.2,25.62,-37.88,-43.23,-23.04,0.04,0.03,0.02,0.02
     (2.3) ลำไยแช่เย็นจนแข็ง,,,,,,,,,,,,
     (2.4) ผลไม้แช่เย็นจนแข็งอื่น ๆ,6.6,5.8,5.8,4.2,28.49,-11.73,-7.44,-27.18,0.00,0.00,0.00,0.00
    (3) ผลไม้แห้ง,63.1,84.0,78.7,72.1,27.20,33.16,43.41,-8.49,0.02,0.03,0.03,0.03
     (3.1) ลำไยแห้ง,5.7,11.2,10.2,7.0,-49.35,97.93,87.50,-31.63,0.00,0.00,0.00,0.00
     (3.2) ผลไม้แห้งอื่น ๆ,57.4,72.8,68.6,65.1,49.49,26.77,38.57,-5.06,0.02,0.02,0.02,0.02
    (4) ผลไม้อื่น ๆ,121.2,113.5,103.7,92.5,-16.08,-6.30,-4.09,-10.82,0.04,0.04,0.03,0.03
   1.1.6 ผักสด แช่เย็น แช่แข็งและแห้ง,75.1,69.8,64.2,69.1,-7.48,-7.09,-5.73,7.71,0.02,0.02,0.02,0.02
    (1) ผักสดหรือแช่เย็น,26.6,26.5,23.7,20.0,3.61,-0.32,-5.17,-15.36,0.01,0.01,0.01,0.01
     (1.1) หน่อไม้ฝรั่งสดหรือแช่เย็น,3.3,4.5,4.1,5.9,35.63,36.31,26.41,45.61,0.00,0.00,0.00,0.00
     (1.2) หอมหัวใหญ่ หอมหัวเล็ก กระเทียม สดหรือแช่เย็น,0.0,,,0.0,,,,,0.00,,,0.00
     (1.3) พริกสดหรือแช่เย็น,3.2,0.7,0.6,0.9,137.89,-78.52,-81.20,47.42,0.00,0.00,0.00,0.00
     (1.4) ข้าวโพดอ่อนสดหรือแช่เย็น,15.8,15.7,14.0,7.8,-2.95,-0.70,-3.21,-44.08,0.00,0.00,0.00,0.00
     (1.5) กระเจี๊ยบสดหรือแช่เย็น,,,,,,,,,,,,
     (1.6) เห็ดสดหรือแช่เย็น,0.3,1.1,1.0,1.4,2.74,288.56,365.45,40.76,0.00,0.00,0.00,0.00
     (1.7) ผักสดหรือแช่เย็นอื่น ๆ,4.0,4.6,4.0,4.0,-24.98,14.19,5.09,-0.36,0.00,0.00,0.00,0.00
    (2) ผักแช่แข็ง,31.7,30.2,28.0,36.6,-3.20,-4.61,1.89,30.37,0.01,0.01,0.01,0.01
     (2.1) พืชผักตระกูลถั่ว แช่แข็ง,0.0,0.0,0.0,0.0,"15,000.00",-6.29,-6.29,-100.00,0.00,0.00,0.00,0.00
     (2.2) ข้าวโพดหวานแช่แข็ง,1.4,1.7,1.6,1.9,"1,390.99",15.69,9.55,20.96,0.00,0.00,0.00,0.00
     (2.3) กระเจี๊ยบแช่แข็ง,0.1,0.0,0.0,0.2,-89.38,-81.53,86.26,759.02,0.00,0.00,0.00,0.00
     (2.4) ผักต่าง ๆ ผสมกัน แช่แข็ง,0.1,0.1,0.1,0.2,-75.13,-35.09,-35.09,213.08,0.00,0.00,0.00,0.00
     (2.5) ผักแช่แข็งอื่น ๆ,30.0,28.5,26.3,34.2,-3.19,-5.14,1.59,29.92,0.01,0.01,0.01,0.01
    (3) ผักแห้ง,2.4,3.8,3.5,4.2,-31.54,59.28,64.58,18.76,0.00,0.00,0.00,0.00
    (4) ผักอื่น ๆ,14.5,9.3,8.9,8.3,-25.15,-35.76,-33.59,-6.66,0.00,0.00,0.00,0.00
   1.1.7 เครื่องเทศและสมุนไพร,44.4,37.7,35.3,43.6,9.29,-15.03,-14.73,23.32,0.01,0.01,0.01,0.02
    (1) พริกไทย,4.8,3.1,3.0,4.3,-38.01,-35.58,-33.63,40.24,0.00,0.00,0.00,0.00
     (1.1) พริกไทยไม่บดหรือไม่ป่น,2.3,1.5,1.5,1.9,-22.69,-33.34,-31.20,24.71,0.00,0.00,0.00,0.00
     (1.2) พริกไทยบดหรือป่น,2.5,1.5,1.5,2.3,-47.74,-37.68,-35.97,56.28,0.00,0.00,0.00,0.00
    (2) มะขามเปียก,,,,,,,,,,,,
    (3) เครื่องเทศ,30.2,24.7,23.2,24.7,51.05,-17.92,-17.10,6.26,0.01,0.01,0.01,0.01
"     (3.1) พริกในตระกูลแคปซีกัม, พิเมนตา (แห้ง/ป่น)",14.9,14.4,13.5,15.4,25.76,-3.03,-1.84,13.91,0.00,0.00,0.00,0.01
     (3.2) วานิลา,2.2,2.2,2.2,2.3,671.87,2.20,10.96,3.69,0.00,0.00,0.00,0.00
     (3.3) กานพลู,,,,,,,,,,,,
     (3.4) อบเชยและดอกอบเชย,0.5,0.9,0.8,0.5,-2.10,63.36,99.16,-33.27,0.00,0.00,0.00,0.00
     (3.5) ลูกจันทน์เทศ ดอกจันทน์เทศและกระวาน,,,,,,,,,,,,
     (3.6) เมล็ดยี่หร่า โป๊ยกั๊ก เทียนข้าวเปลือก ฯลฯ,0.0,0.0,0.0,0.0,-61.70,453.70,453.70,-56.86,0.00,0.00,0.00,0.00
     (3.7) ขิง หญ้าฝรั่น ขมิ้น ไทม์ ใบเบย์ หอมแขก และเครื่องเทศอื่น ๆ,12.5,7.2,6.6,6.4,71.97,-42.76,-43.83,-3.32,0.00,0.00,0.00,0.00
    (4) สมุนไพร,1.3,0.7,0.6,0.4,-46.87,-48.05,-55.16,-21.40,0.00,0.00,0.00,0.00
    (5) สารสกัดจากสมุนไพร,8.2,9.1,8.4,14.2,-22.27,11.69,10.98,68.46,0.00,0.00,0.00,0.01
    (6) หมาก,,0.1,0.1,0.0,,,,-100.00,,0.00,0.00,0.00
   1.1.8 กล้วยไม้,54.1,58.6,54.6,29.9,-0.90,8.41,8.32,-45.26,0.02,0.02,0.02,0.01
    (1) ดอกกล้วยไม้,51.2,52.4,49.0,23.2,-1.23,2.30,2.63,-52.57,0.01,0.02,0.02,0.01
    (2) ต้นกล้วยไม้(พันต้น),2.8,6.2,5.6,6.6,5.46,119.19,110.85,18.85,0.00,0.00,0.00,0.00
   1.1.9 ยางพารา,10.2,7.1,7.1,4.6,58.73,-30.63,-26.58,-34.18,0.00,0.00,0.00,0.00
    (1) ยางแผ่น,,0.0,0.0,0.0,,,,-100.00,,0.00,0.00,0.00
     (1.1) ยางแผ่นรมควัน ชั้นที่ 1,,0.0,0.0,0.0,,,,-100.00,,0.00,0.00,0.00
     (1.2) ยางแผ่นรมควัน ชั้นที่ 2,,,,,,,,,,,,
     (1.3) ยางแผ่นรมควัน ชั้นที่ 3,,,,,,,,,,,,
     (1.4) ยางแผ่นรมควัน ชั้นที่ 4,,,,,,,,,,,,
     (1.5) ยางแผ่นรมควัน ชั้นที่ 5,,,,,,,,,,,,
     (1.6) ยางแผ่นผึ่งแห้ง,,,,,,,,,,,,
     (1.7) ยางแผ่นไม่รมควัน ยางแผ่นดิบ,,,,,,,,,,,,
    (2) ยางแท่ง,4.3,1.9,1.9,0.8,432.44,-54.42,-54.42,-58.94,0.00,0.00,0.00,0.00
     (2.1) ยางธรรมชาติที่กำหนดไว้ในทางเทคนิค,,0.0,0.0,,,,,,,0.00,0.00,
     (2.2) ยางแท่งชั้น 5,,,,,,,,,,,,
     (2.3) ทีทีอาร์ เอศเอ็มอาร์ ไอเอสอาร์ เอสเอสอาร์ ไดแน็ท ฯลฯ,,,,,,,,,,,,
     (2.4) ยางแท่งอื่น ๆ,4.3,1.9,1.9,0.8,432.44,-54.43,-54.43,-58.94,0.00,0.00,0.00,0.00
    (3) น้ำยางข้น,4.3,1.9,1.9,3.5,16.37,-55.00,-48.27,79.11,0.00,0.00,0.00,0.00
    (4) ยางพาราอื่น ๆ,1.6,3.2,3.2,0.4,-16.09,98.53,98.53,-88.21,0.00,0.00,0.00,0.00
     (4.2) ในลักษณะขั้นปฐม,1.6,3.2,3.2,0.4,-16.66,99.88,99.88,-88.21,0.00,0.00,0.00,0.00
     (4.3) ยางเครฟ,,,,,,,,,,,,
     (4.4) อื่น ๆ,0.0,,,,,,,,0.00,,,
   1.1.10 กาแฟ,0.5,1.0,1.0,0.5,-4.10,82.93,82.93,-50.89,0.00,0.00,0.00,0.00
    (1) กาแฟดิบ,0.1,0.1,0.1,0.5,-40.40,36.56,36.56,274.82,0.00,0.00,0.00,0.00
    (2) กาแฟคั่ว,0.4,0.8,0.8,0.0,10.18,92.80,92.80,-99.99,0.00,0.00,0.00,0.00
   1.1.11 ใบยาสูบ,,,,,,,,,,,,
    (1) พันธุ์เวอร์จิเนีย,,,,,,,,,,,,
    (2) พันธุ์เบอร์เลย์,,,,,,,,,,,,
    (3) พันธุ์โอเรียนตอล,,,,,,,,,,,,
    (4) เศษใบยาสูบและอื่นๆ,,,,,,,,,,,,
   1.1.12 พืชน้ำมัน,0.3,1.1,1.0,0.7,-87.10,221.24,210.64,-31.79,0.00,0.00,0.00,0.00
    (1) ปาล์มน้ำมัน,,,,0.0,,,,,,,,0.00
    (2) พืชน้ำมันอื่น ๆ,0.3,1.1,1.0,0.7,-87.10,221.24,210.64,-32.65,0.00,0.00,0.00,0.00
   1.1.14 เมล็ดมะม่วงหิมพานต์,,0.0,0.0,,,,,,,0.00,0.00,
   1.1.15 ธัญญพืช,0.6,0.6,0.5,0.7,-40.59,-1.68,-18.51,46.93,0.00,0.00,0.00,0.00
    (1) ลูกเดือยทั้งเปลือก,0.1,0.1,0.1,0.1,-39.92,-8.63,-8.63,16.22,0.00,0.00,0.00,0.00
    (2) รำและเศษจากธัญญพืช,0.0,,,,-100.00,,,,0.00,,,
    (3) ธัญญพืชอื่น ๆ,0.5,0.5,0.4,0.6,-33.54,-0.84,-19.65,50.99,0.00,0.00,0.00,0.00
   1.1.16 เมล็ด ผลและสปอร์ ชนิดที่ใช้ในการเพาะปลูก,2.5,1.3,1.3,9.7,23.87,-46.37,-46.74,641.63,0.00,0.00,0.00,0.00
   1.1.17 ครั่ง,,,,,,,,,,,,
   1.1.18 ฝ้าย,0.5,0.0,0.0,0.0,-93.31,-97.36,-97.36,-23.39,0.00,0.00,0.00,0.00
   1.1.19 สินค้ากสิกรรมอื่น ๆ,142.2,136.6,131.5,127.3,5.17,-3.94,2.48,-3.22,0.04,0.04,0.04,0.04
  1.2 สินค้าประมง,"2,188.6","1,436.2","1,354.4","1,169.3",15.51,-34.38,-33.63,-13.67,0.63,0.45,0.45,0.41
   1.2.1 กุ้ง,"1,738.4",965.3,919.4,852.5,23.57,-44.47,-43.36,-7.27,0.50,0.30,0.31,0.30
    (1) กุ้งสด แช่เย็น แช่แข็ง,786.7,726.5,690.6,532.1,-19.96,-7.65,2.80,-22.94,0.23,0.23,0.23,0.19
     (1.1) กุ้งกุลาดำสด แช่เย็น แช่แข็ง,,3.9,3.9,1.0,,,,-73.92,,0.00,0.00,0.00
     (1.2) กุ้งก้ามกรามสด แช่เย็น แช่แข็ง,,,,,,,,,,,,
     (1.3) กุ้งอื่น ๆ สด แช่เย็น แช่แข็ง,786.7,722.6,686.7,531.1,-17.54,-8.14,2.22,-22.65,0.23,0.23,0.23,0.19
    (2) กุ้งแห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน,,,,0.0,,,,,,,,0.00
    (3) กุ้งต้มสุกแช่เย็น,934.6,225.3,217.5,305.6,128.14,-75.89,-76.73,40.51,0.27,0.07,0.07,0.11
    (4) กุ้งอื่น ๆ,17.1,13.4,11.3,14.8,19.89,-21.43,-33.08,30.50,0.00,0.00,0.00,0.01
   1.2.2 ปลาหมึก,302.4,281.7,261.8,173.9,-7.28,-6.85,-5.95,-33.56,0.09,0.09,0.09,0.06
    (1) ปลาหมึก มีชีวิต สด แช่เย็น แช่แข็ง,302.4,281.7,261.8,172.8,-6.97,-6.85,-5.94,-33.98,0.09,0.09,0.09,0.06
    (2) ปลาหมึก แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน                            ,0.0,,,1.1,-97.80,,,,0.00,,,0.00
   1.2.3 ปลา,70.3,85.2,72.7,85.4,-14.43,21.22,9.51,17.43,0.02,0.03,0.02,0.03
    (1) เนื้อปลาสด แช่เย็น แช่แข็ง,41.3,46.3,41.0,35.9,-10.96,12.09,1.40,-12.49,0.01,0.01,0.01,0.01
    (2) ปลาสด แช่เย็น แช่แข็ง,2.3,3.2,2.9,2.8,-65.81,41.50,25.87,-3.53,0.00,0.00,0.00,0.00
    (3) ปลาแห้งและส่วนต่าง ๆ แห้ง ใส่เกลือหรือรมควัน(เมตริกตัน),20.2,27.8,21.6,38.2,-16.31,37.66,21.98,76.43,0.01,0.01,0.01,0.01
    (4) ปลามีชีวิต และพันธุ์ปลา,6.5,7.9,7.2,8.5,31.69,21.04,21.32,18.98,0.00,0.00,0.00,0.00
   1.2.4 สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ,76.1,102.1,98.5,56.4,-0.18,34.07,37.71,-42.78,0.02,0.03,0.03,0.02
    (1) ปู สด แช่เย็น แช่แข็ง นึ่งหรือต้ม,72.2,100.9,97.4,56.1,44.52,39.69,43.92,-42.38,0.02,0.03,0.03,0.02
    (2) หอย มีชีวิต สด แช่เย็น แช่แข็ง แห้ง ใส่เกลือหรือแช่น้ำเกลือ รมควัน ,3.9,1.0,1.0,0.1,-83.85,-75.31,-75.31,-89.08,0.00,0.00,0.00,0.00
    (3) สัตว์น้ำจำพวกครัสตาเซียและโมลลุสก์ อื่น ๆ อื่น ๆ  ,,0.2,0.2,0.2,,,,-14.29,,0.00,0.00,0.00
   1.2.5 แมงกะพรุน,,,,0.0,,,,,,,,0.00
   1.2.6 ตะพาบน้ำ,,,,,,,,,,,,
   1.2.7 กบ,,,,,,,,,,,,
   1.2.8  ประมงอื่น ๆ,1.3,1.9,1.9,1.0,-59.97,49.31,62.16,-48.39,0.00,0.00,0.00,0.00
  1.3 ปศุสัตว์,231.3,105.2,101.7,101.1,84.73,-54.50,-53.60,-0.61,0.07,0.03,0.03,0.04
   1.3.1 ไก่,170.2,73.7,71.6,71.0,106.22,-56.68,-55.73,-0.80,0.05,0.02,0.02,0.03
    (1) ไก่สดแช่เย็นแช่แข็ง,,,,,,,,,,,,
    (2) ไก่แปรรูป,170.2,73.7,71.6,71.0,106.22,-56.68,-55.73,-0.80,0.05,0.02,0.02,0.03
   1.3.2 เป็ดสดแช่เย็นแช่แข็ง,,,,,,,,,,,,
   1.3.3 สุกรสดแช่เย็นแช่แข็ง,,,,,,,,,,,,
   1.3.4 กระดูกสัตว์และขนสัตว์ปีก,4.8,2.3,2.0,1.2,488.55,-51.22,-52.54,-40.19,0.00,0.00,0.00,0.00
   1.3.5 ไข่ไก่สด(พันฟอง),,,,,,,,,,,,
   1.3.6 เนื้อและส่วนต่าง ๆ ของสัตว์ที่บริโภคได้,0.0,0.0,0.0,0.0,,241.38,241.38,146.46,0.00,0.00,0.00,0.00
   1.3.7 สินค้าปศุสัตว์อื่น ๆ,56.2,29.1,28.1,28.8,34.42,-48.21,-47.24,2.68,0.02,0.01,0.01,0.01
 2. สินค้าอุตสาหกรรมการเกษตร,"23,382.5","22,571.9","20,719.8","21,416.8",-1.55,-3.47,-3.39,3.36,6.77,7.12,6.95,7.56
  2.1  อาหารทะเลกระป๋องและแปรรูป,"9,535.1","8,103.3","7,397.6","6,934.6",-4.57,-15.02,-16.06,-6.26,2.76,2.56,2.48,2.45
   2.1.1 อาหารทะเลกระป๋อง,"7,734.1","6,601.7","6,023.5","5,658.8",1.74,-14.64,-15.39,-6.05,2.24,2.08,2.02,2.00
    (1)  ทูน่ากระป๋อง,"6,672.3","5,687.2","5,236.4","4,741.7",1.61,-14.76,-15.02,-9.45,1.93,1.79,1.76,1.67
    (2)  ซาร์ดีนกระป๋อง,199.0,170.4,158.0,142.6,11.53,-14.35,-10.32,-9.79,0.06,0.05,0.05,0.05
    (3)  ปูกระป๋อง,27.2,40.0,34.6,25.8,11.86,47.40,42.01,-25.57,0.01,0.01,0.01,0.01
    (4)  กุ้งกระป๋อง,144.7,140.0,120.8,176.8,-28.25,-3.21,-11.61,46.35,0.04,0.04,0.04,0.06
    (5) หอยลายกระป๋อง(เมตริกตัน),,,,,,,,,,,,
    (6) ปลาหมึกกระป๋อง,0.7,0.9,0.7,1.3,49.93,17.21,49.02,73.99,0.00,0.00,0.00,0.00
    (7) อาหารทะเลกระป๋องอื่น ๆ,690.2,563.1,472.9,570.6,9.44,-18.41,-23.63,20.67,0.20,0.18,0.16,0.20
   2.1.2 อาหารทะเลแปรรูป,"1,801.1","1,501.6","1,374.1","1,275.8",-24.65,-16.63,-18.88,-7.15,0.52,0.47,0.46,0.45
    (1) กุ้งแปรรูป,906.3,621.5,572.8,423.8,-38.52,-31.43,-33.11,-26.02,0.26,0.20,0.19,0.15
    (2) ปลาหมึกแปรรูป,118.6,116.3,105.7,98.4,19.95,-1.95,-6.83,-6.86,0.03,0.04,0.04,0.03
    (3) ปูแปรรูป,4.2,1.4,1.4,6.7,-71.46,-65.51,-64.65,374.62,0.00,0.00,0.00,0.00
    (4) ปลาแปรรูป,765.1,755.7,687.8,744.1,-3.78,-1.23,-3.67,8.19,0.22,0.24,0.23,0.26
     (4.1) ปลาทูน่า แปรรูป,0.0,0.1,0.1,,-99.97,"20,966.67","20,966.67",,0.00,0.00,0.00,
     (4.2) ปลาอื่น ๆ แปรรูป,765.1,755.6,687.6,744.1,-3.52,-1.24,-3.69,8.21,0.22,0.24,0.23,0.26
    (5) สัตว์น้ำประเภทครัสตาเซีย แปรรูป,0.1,,,,-82.04,,,,0.00,,,
    (6) หอยลาย แปรรูป,3.0,2.8,2.8,2.1,0.76,-4.61,29.99,-27.10,0.00,0.00,0.00,0.00
    (7)  อาหารทะเลแปรรูปอื่น ๆ,3.9,3.9,3.6,0.8,-8.96,-0.23,-5.98,-78.17,0.00,0.00,0.00,0.00
  2.2 น้ำตาลทรายและกากน้ำตาล,189.0,235.0,224.9,226.0,-30.62,24.33,72.07,0.49,0.05,0.07,0.08,0.08
   2.2.1 น้ำตาลทราย,139.1,107.3,97.3,37.9,-48.60,-22.86,-24.78,-60.99,0.04,0.03,0.03,0.01
    (1) น้ำตาลทรายดิบ,0.9,0.0,0.0,0.1,-65.71,-100.00,-100.00,,0.00,0.00,0.00,0.00
    (2) น้ำตาลทรายขาว,138.2,107.3,97.3,37.9,-48.43,-22.34,-24.23,-61.05,0.04,0.03,0.03,0.01
    (3) น้ำตาลอื่น ๆ(เมตริกตัน),,,,,,,,,,,,
   2.2.2 กากน้ำตาล,49.9,127.7,127.7,188.1,"2,743.29",155.93,"8,898.02",47.33,0.01,0.04,0.04,0.07
  2.3 ผลไม้กระป๋องและแปรรูป,"1,863.3","1,499.8","1,359.6","1,503.6",-25.47,-19.51,-20.66,10.60,0.54,0.47,0.46,0.53
