สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
อินโดนีเซีย,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
รวมทุกสินค้า,"286,679.2","299,494.5","299,494.5","328,290.4",8.79,4.47,4.47,9.61,100.00,100.00,100.00,100.00
" 1. สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)","18,222.3","12,300.4","12,300.4","23,078.2",10.97,-32.50,-32.50,87.62,6.36,4.11,4.11,7.03
  1.1 สินค้ากสิกรรม,"18,110.2","12,181.5","12,181.5","22,953.2",11.04,-32.74,-32.74,88.43,6.32,4.07,4.07,6.99
   1.1.1 ข้าว,"5,752.7","2,021.5","2,021.5","11,848.5",47.36,-64.86,-64.86,486.13,2.01,0.67,0.67,3.61
    (1) ข้าวขาว,"4,100.3",121.7,121.7,"10,016.2",79.98,-97.03,-97.03,"8,131.50",1.43,0.04,0.04,3.05
     (1.1) ข้าวขาว 100%,0.0,,,,-100.00,,,,0.00,,,
     (1.2) ข้าวขาว 5-10%,701.7,121.7,121.7,"9,462.1","70,696.76",-82.66,-82.66,"7,676.11",0.24,0.04,0.04,2.88
     (1.3) ข้าวขาว 15-20%,"3,343.8",,,554.1,46.98,,,,1.17,,,0.17
     (1.4) ข้าวขาว 25-35%,54.8,,,,,,,,0.02,,,
     (1.5) ข้าวขาว 40-45%,,,,,,,,,,,,
     (1.6) ข้าวขาวอื่นๆ,0.0,0.0,0.0,,700.00,-100.00,-100.00,,0.00,0.00,0.00,
    (2) ข้าวหอมมะลิ,2.8,,,,-12.77,,,,0.00,,,
     (2.1) ข้าวหอมมะลิ 100%,2.8,,,,-12.77,,,,0.00,,,
     (2.2) ข้าวหอมมะลิ 5-10%,,,,,,,,,,,,
     (2.3) ข้าวหอมมะลิ 15-20%,,,,,,,,,,,,
    (3) ปลายข้าว,"1,645.4","1,883.0","1,883.0","1,509.5",1.41,14.44,14.44,-19.84,0.57,0.63,0.63,0.46
     (3.1) ปลายข้าวขาว,153.7,184.0,184.0,131.1,5.01,19.67,19.67,-28.75,0.05,0.06,0.06,0.04
     (3.2) ปลายข้าวหอมมะลิ,,,,,,,,,,,,
     (3.3) ปลายข้าวอื่น ๆ,"1,491.6","1,699.1","1,699.1","1,378.4",1.05,13.91,13.91,-18.87,0.52,0.57,0.57,0.42
    (4) ข้าวเหนียว,4.3,16.8,16.8,322.8,,292.42,292.42,"1,824.54",0.00,0.01,0.01,0.10
    (5) ข้าวนึ่ง,,0.0,0.0,,,,,,,0.00,0.00,
    (6) ข้าวกล้อง,0.0,0.0,0.0,,,100.00,100.00,,0.00,0.00,0.00,
     (6.1) ข้าวกล้องขาว,,,,,,,,,,,,
     (6.2) ข้าวกล้องหอมมะลิ,,,,,,,,,,,,
     (6.3) ข้าวกล้องเจ้าสีดำ สีม่วงดำ และสีม่วง,,,,,,,,,,,,
     (6.4) ข้าวกล้องเจ้าสีแดง,,,,,,,,,,,,
     (6.5) ข้าวกล้องเหนียวสีดำ สีม่วงดำ สีม่วง และสีแดง,,,,,,,,,,,,
     (6.6) ข้าวกล้องสี,,,,,,,,,,,,
     (6.7) ข้าวกล้องอื่น ๆ,0.0,0.0,0.0,,,100.00,100.00,,0.00,0.00,0.00,
    (7) ข้าวอื่นๆ,0.0,0.0,0.0,0.0,-85.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00
   1.1.2 ข้าวโพด,98.1,404.4,404.4,16.1,-67.14,312.09,312.09,-96.03,0.03,0.14,0.14,0.00
    (1) ข้าวโพดสำหรับบริโภค,0.0,0.0,0.0,,,-100.00,-100.00,,0.00,0.00,0.00,
