สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
ญี่ปุ่น,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
รวมทุกสินค้า,"718,354.8","746,519.3","746,519.3","799,342.8",6.34,3.92,3.92,7.08,100.00,100.00,100.00,100.00
" 1. สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)","98,050.8","108,431.1","108,431.1","102,512.5",7.66,10.59,10.59,-5.46,13.65,14.52,14.52,12.82
  1.1 สินค้ากสิกรรม,"30,894.5","34,660.6","34,660.6","30,418.0",-3.97,12.19,12.19,-12.24,4.30,4.64,4.64,3.81
   1.1.1 ข้าว,"4,453.3","4,440.5","4,440.5","3,001.3",13.91,-0.29,-0.29,-32.41,0.62,0.59,0.59,0.38
    (1) ข้าวขาว,"4,075.7","4,138.3","4,138.3","2,674.6",14.06,1.54,1.54,-35.37,0.57,0.55,0.55,0.33
     (1.1) ข้าวขาว 100%,"4,075.6","4,138.1","4,138.1","2,674.6",14.06,1.54,1.54,-35.37,0.57,0.55,0.55,0.33
     (1.2) ข้าวขาว 5-10%,,,,,,,,,,,,
     (1.3) ข้าวขาว 15-20%,,,,,,,,,,,,
     (1.4) ข้าวขาว 25-35%,,,,,,,,,,,,
     (1.5) ข้าวขาว 40-45%,,,,,,,,,,,,
     (1.6) ข้าวขาวอื่นๆ,0.1,0.1,0.1,0.0,-31.38,-3.97,-3.97,-99.46,0.00,0.00,0.00,0.00
    (2) ข้าวหอมมะลิ,69.1,96.3,96.3,107.4,-18.93,39.32,39.32,11.49,0.01,0.01,0.01,0.01
     (2.1) ข้าวหอมมะลิ 100%,69.1,96.3,96.3,107.4,-18.93,39.32,39.32,11.49,0.01,0.01,0.01,0.01
     (2.2) ข้าวหอมมะลิ 5-10%,,,,,,,,,,,,
     (2.3) ข้าวหอมมะลิ 15-20%,,,,,,,,,,,,
    (3) ปลายข้าว,56.3,34.8,34.8,34.5,27.93,-38.20,-38.20,-1.03,0.01,0.00,0.00,0.00
     (3.1) ปลายข้าวขาว,33.2,29.1,29.1,27.2,-4.07,-12.31,-12.31,-6.43,0.00,0.00,0.00,0.00
     (3.2) ปลายข้าวหอมมะลิ,,,,,,,,,,,,
     (3.3) ปลายข้าวอื่น ๆ,23.2,5.7,5.7,7.2,145.17,-75.31,-75.31,26.43,0.00,0.00,0.00,0.00
    (4) ข้าวเหนียว,252.1,171.1,171.1,184.7,21.93,-32.11,-32.11,7.91,0.04,0.02,0.02,0.02
    (5) ข้าวนึ่ง,,0.0,0.0,,,,,,,0.00,0.00,
    (6) ข้าวกล้อง,0.0,0.0,0.0,0.1,"38,700.00",-45.10,-45.10,482.63,0.00,0.00,0.00,0.00
     (6.1) ข้าวกล้องขาว,0.0,,,0.0,,,,,0.00,,,0.00
     (6.2) ข้าวกล้องหอมมะลิ,0.0,0.0,0.0,,,"1,050.00","1,050.00",,0.00,0.00,0.00,
     (6.3) ข้าวกล้องเจ้าสีดำ สีม่วงดำ และสีม่วง,,,,,,,,,,,,
     (6.4) ข้าวกล้องเจ้าสีแดง,,,,,,,,,,,,
     (6.5) ข้าวกล้องเหนียวสีดำ สีม่วงดำ สีม่วง และสีแดง,,,,,,,,,,,,
     (6.6) ข้าวกล้องสี,,,,,,,,,,,,
     (6.7) ข้าวกล้องอื่น ๆ,0.0,0.0,0.0,0.1,"38,400.00",-50.91,-50.91,487.30,0.00,0.00,0.00,0.00
    (7) ข้าวอื่นๆ,0.0,0.0,0.0,0.0,-83.13,-46.34,-46.34,-81.82,0.00,0.00,0.00,0.00
