สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
ฮ่องกง,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
    (2) แป้งมันสำปะหลัง,146.8,114.8,114.8,135.7,-28.97,-21.82,-21.82,18.25,0.04,0.03,0.03,0.03
     (2.1) แป้งมันสำปะหลัง,17.1,18.9,18.9,18.8,-27.22,10.56,10.56,-0.82,0.00,0.00,0.00,0.00
     (2.2) แป้งหยาบทำจากมันสำปะหลัง,,,,,,,,,,,,
     (2.3) สตาร์ชทำจากมันสำปะหลัง,129.0,95.8,95.8,117.0,-29.47,-25.68,-25.68,22.02,0.03,0.02,0.02,0.03
     (2.4) แป้งมันสำปะหลังอื่น ๆ,0.7,0.0,0.0,,112.14,-99.48,-99.48,,0.00,0.00,0.00,
    (3) เด๊กตรินและโมดิไฟด์สตาร์ชอื่น ๆ,68.6,24.8,24.8,5.0,-5.57,-63.85,-63.85,-79.73,0.02,0.01,0.01,0.00
    (4) ผลิตภัณท์มันสำปะหลัง อื่น ๆ,13.1,11.6,11.6,12.7,-10.77,-11.19,-11.19,9.18,0.00,0.00,0.00,0.00
     (4.1) หัวมันสำปะหลัง,0.0,0.0,0.0,,66.67,740.00,740.00,,0.00,0.00,0.00,
     (4.2) สาคู ทำจากแป้งมันสำปะหลัง,13.1,11.6,11.6,12.7,-10.77,-11.22,-11.22,9.22,0.00,0.00,0.00,0.00
     (4.3) กากและมันสำปะหลังอื่น ๆ,,0.0,0.0,,,,,,,0.00,0.00,
   1.1.5 ผลไม้สด แช่เย็น แช่แข็งและแห้ง,"6,960.4","6,129.5","6,129.5","7,637.7",-6.42,-11.94,-11.94,24.61,1.73,1.47,1.47,1.90
    (1) ผลไม้สด,"6,373.7","5,471.2","5,471.2","7,046.0",-8.54,-14.16,-14.16,28.78,1.58,1.31,1.31,1.75
     (1.1) ลำไยสด,706.0,772.2,772.2,542.3,-14.59,9.37,9.37,-29.78,0.18,0.19,0.19,0.13
     (1.2) ทุเรียนสด,"4,953.2","4,172.3","4,172.3","6,092.4",-9.54,-15.76,-15.76,46.02,1.23,1.00,1.00,1.52
     (1.3) มะม่วงสด,12.6,13.8,13.8,19.9,-21.22,9.03,9.03,44.42,0.00,0.00,0.00,0.00
     (1.4) ลิ้นจี่สด,0.0,1.0,1.0,0.1,-99.42,"163,533.33","163,533.33",-89.00,0.00,0.00,0.00,0.00
     (1.5) กล้วยสด,19.7,44.2,44.2,37.9,-69.19,123.77,123.77,-14.22,0.00,0.01,0.01,0.01
     (1.6) ผลไม้จำพวกส้ม สด,119.7,10.7,10.7,5.6,90.44,-91.08,-91.08,-47.57,0.03,0.00,0.00,0.00
     (1.7) เงาะสด,4.0,1.1,1.1,0.2,"1,005.49",-72.44,-72.44,-81.66,0.00,0.00,0.00,0.00
     (1.8) มังคุดสด,137.2,154.0,154.0,27.6,-6.05,12.20,12.20,-82.08,0.03,0.04,0.04,0.01
     (1.9) สับปะรดสด,0.4,10.2,10.2,14.1,721.53,"2,410.31","2,410.31",37.70,0.00,0.00,0.00,0.00
     (1.10) ผลไม้สดอื่น ๆ,420.7,291.7,291.7,305.9,11.54,-30.68,-30.68,4.87,0.10,0.07,0.07,0.08
    (2) ผลไม้แช่แข็ง,81.3,85.4,85.4,52.9,67.69,5.05,5.05,-37.99,0.02,0.02,0.02,0.01
     (2.1) สับปะรดแช่เย็นจนแข็ง,0.0,0.1,0.1,0.3,,"138,000.00","138,000.00",122.74,0.00,0.00,0.00,0.00
     (2.2) ทุเรียนแช่เย็นจนแข็ง,65.6,63.1,63.1,35.8,55.15,-3.76,-3.76,-43.33,0.02,0.02,0.02,0.01
     (2.3) ลำไยแช่เย็นจนแข็ง,3.0,1.5,1.5,0.6,167.08,-51.65,-51.65,-57.96,0.00,0.00,0.00,0.00
     (2.4) ผลไม้แช่เย็นจนแข็งอื่น ๆ,12.7,20.7,20.7,16.3,149.89,63.18,63.18,-21.33,0.00,0.00,0.00,0.00
    (3) ผลไม้แห้ง,284.9,361.2,361.2,288.4,29.66,26.79,26.79,-20.16,0.07,0.09,0.09,0.07
     (3.1) ลำไยแห้ง,104.3,143.3,143.3,83.9,8.75,37.29,37.29,-41.42,0.03,0.03,0.03,0.02
     (3.2) ผลไม้แห้งอื่น ๆ,180.5,218.0,218.0,204.5,45.86,20.73,20.73,-6.19,0.04,0.05,0.05,0.05
    (4) ผลไม้อื่น ๆ,220.5,211.7,211.7,250.4,10.07,-3.98,-3.98,18.26,0.05,0.05,0.05,0.06
   1.1.6 ผักสด แช่เย็น แช่แข็งและแห้ง,278.6,305.9,305.9,338.3,23.00,9.81,9.81,10.56,0.07,0.07,0.07,0.08
    (1) ผักสดหรือแช่เย็น,171.0,143.5,143.5,148.8,11.00,-16.06,-16.06,3.71,0.04,0.03,0.03,0.04
     (1.1) หน่อไม้ฝรั่งสดหรือแช่เย็น,2.2,1.3,1.3,1.5,-69.82,-39.99,-39.99,16.01,0.00,0.00,0.00,0.00
     (1.2) หอมหัวใหญ่ หอมหัวเล็ก กระเทียม สดหรือแช่เย็น,0.0,0.0,0.0,0.1,-80.68,7.44,7.44,99.17,0.00,0.00,0.00,0.00
     (1.3) พริกสดหรือแช่เย็น,2.7,3.3,3.3,2.3,-10.66,21.66,21.66,-28.98,0.00,0.00,0.00,0.00
     (1.4) ข้าวโพดอ่อนสดหรือแช่เย็น,1.7,1.7,1.7,1.8,-0.57,2.47,2.47,6.62,0.00,0.00,0.00,0.00
     (1.5) กระเจี๊ยบสดหรือแช่เย็น,2.3,16.8,16.8,18.8,-3.08,625.03,625.03,12.10,0.00,0.00,0.00,0.00
     (1.6) เห็ดสดหรือแช่เย็น,25.1,27.4,27.4,36.8,15.97,9.19,9.19,34.48,0.01,0.01,0.01,0.01
     (1.7) ผักสดหรือแช่เย็นอื่น ๆ,137.0,93.0,93.0,87.5,16.11,-32.11,-32.11,-5.96,0.03,0.02,0.02,0.02
    (2) ผักแช่แข็ง,103.7,153.3,153.3,155.0,52.44,47.85,47.85,1.13,0.03,0.04,0.04,0.04
     (2.1) พืชผักตระกูลถั่ว แช่แข็ง,1.7,1.0,1.0,0.8,"52,039.39",-41.73,-41.73,-19.61,0.00,0.00,0.00,0.00
     (2.2) ข้าวโพดหวานแช่แข็ง,0.0,0.0,0.0,0.0,800.00,188.89,188.89,209.62,0.00,0.00,0.00,0.00
     (2.3) กระเจี๊ยบแช่แข็ง,0.3,0.6,0.6,0.6,,127.27,127.27,-2.77,0.00,0.00,0.00,0.00
     (2.4) ผักต่าง ๆ ผสมกัน แช่แข็ง,0.1,23.9,23.9,20.0,-95.50,"38,809.28","38,809.28",-16.14,0.00,0.01,0.01,0.00
     (2.5) ผักแช่แข็งอื่น ๆ,101.6,127.8,127.8,133.5,52.47,25.72,25.72,4.53,0.03,0.03,0.03,0.03
    (3) ผักแห้ง,3.1,7.8,7.8,27.1,351.69,152.61,152.61,247.46,0.00,0.00,0.00,0.01
    (4) ผักอื่น ๆ,0.9,1.4,1.4,7.3,-76.65,53.51,53.51,439.66,0.00,0.00,0.00,0.00
   1.1.7 เครื่องเทศและสมุนไพร,157.1,52.2,52.2,28.0,33.84,-66.77,-66.77,-46.31,0.04,0.01,0.01,0.01
    (1) พริกไทย,4.6,5.8,5.8,4.9,17.50,26.69,26.69,-15.23,0.00,0.00,0.00,0.00
     (1.1) พริกไทยไม่บดหรือไม่ป่น,0.2,0.4,0.4,0.3,94.61,119.53,119.53,-26.45,0.00,0.00,0.00,0.00
     (1.2) พริกไทยบดหรือป่น,4.4,5.4,5.4,4.6,15.52,22.67,22.67,-14.36,0.00,0.00,0.00,0.00
    (2) มะขามเปียก,,,,,,,,,,,,
    (3) เครื่องเทศ,8.0,7.1,7.1,7.3,14.41,-10.92,-10.92,2.29,0.00,0.00,0.00,0.00
"     (3.1) พริกในตระกูลแคปซีกัม, พิเมนตา (แห้ง/ป่น)",4.6,4.1,4.1,3.8,31.76,-10.79,-10.79,-7.20,0.00,0.00,0.00,0.00
     (3.2) วานิลา,0.0,0.0,0.0,0.0,300.00,"1,075.00","1,075.00",-34.04,0.00,0.00,0.00,0.00
     (3.3) กานพลู,,,,0.3,,,,,,,,0.00
     (3.4) อบเชยและดอกอบเชย,0.1,0.1,0.1,0.2,4.17,6.40,6.40,70.02,0.00,0.00,0.00,0.00
     (3.5) ลูกจันทน์เทศ ดอกจันทน์เทศและกระวาน,0.1,0.3,0.3,0.0,-82.42,191.69,191.69,-96.49,0.00,0.00,0.00,0.00
     (3.6) เมล็ดยี่หร่า โป๊ยกั๊ก เทียนข้าวเปลือก ฯลฯ,0.1,0.1,0.1,0.2,-19.71,10.50,10.50,77.11,0.00,0.00,0.00,0.00
     (3.7) ขิง หญ้าฝรั่น ขมิ้น ไทม์ ใบเบย์ หอมแขก และเครื่องเทศอื่น ๆ,3.0,2.4,2.4,2.7,12.18,-18.83,-18.83,10.98,0.00,0.00,0.00,0.00
    (4) สมุนไพร,128.3,28.6,28.6,2.0,36.52,-77.73,-77.73,-93.04,0.03,0.01,0.01,0.00
    (5) สารสกัดจากสมุนไพร,13.9,10.7,10.7,13.8,91.45,-23.10,-23.10,29.40,0.00,0.00,0.00,0.00
    (6) หมาก,2.3,0.0,0.0,,-56.17,-99.87,-99.87,,0.00,0.00,0.00,
   1.1.8 กล้วยไม้,18.5,19.8,19.8,17.9,9.03,6.76,6.76,-9.59,0.00,0.00,0.00,0.00
    (1) ดอกกล้วยไม้,18.5,19.6,19.6,17.9,9.44,6.36,6.36,-9.09,0.00,0.00,0.00,0.00
    (2) ต้นกล้วยไม้(พันต้น),0.1,0.1,0.1,0.0,-51.56,139.00,139.00,-83.23,0.00,0.00,0.00,0.00
   1.1.9 ยางพารา,313.2,179.6,179.6,41.4,211.47,-42.67,-42.67,-76.92,0.08,0.04,0.04,0.01
    (1) ยางแผ่น,11.2,10.0,10.0,4.3,-18.19,-10.29,-10.29,-57.56,0.00,0.00,0.00,0.00
     (1.1) ยางแผ่นรมควัน ชั้นที่ 1,,1.3,1.3,0.3,,,,-77.96,,0.00,0.00,0.00
     (1.2) ยางแผ่นรมควัน ชั้นที่ 2,,,,,,,,,,,,
     (1.3) ยางแผ่นรมควัน ชั้นที่ 3,1.6,1.1,1.1,2.0,61.72,-31.88,-31.88,87.11,0.00,0.00,0.00,0.00
     (1.4) ยางแผ่นรมควัน ชั้นที่ 4,,,,,,,,,,,,
     (1.5) ยางแผ่นรมควัน ชั้นที่ 5,,,,,,,,,,,,
     (1.6) ยางแผ่นผึ่งแห้ง,9.6,7.7,7.7,2.0,-24.38,-19.89,-19.89,-74.56,0.00,0.00,0.00,0.00
     (1.7) ยางแผ่นไม่รมควัน ยางแผ่นดิบ,,,,,,,,,,,,
    (2) ยางแท่ง,204.7,124.6,124.6,6.2,"2,023.64",-39.13,-39.13,-95.03,0.05,0.03,0.03,0.00
     (2.1) ยางธรรมชาติที่กำหนดไว้ในทางเทคนิค,203.4,123.3,123.3,6.2,"2,600.20",-39.39,-39.39,-94.98,0.05,0.03,0.03,0.00
     (2.2) ยางแท่งชั้น 5,,,,,,,,,,,,
     (2.3) ทีทีอาร์ เอศเอ็มอาร์ ไอเอสอาร์ เอสเอสอาร์ ไดแน็ท ฯลฯ,,,,,,,,,,,,
     (2.4) ยางแท่งอื่น ๆ,1.3,1.3,1.3,,-38.68,1.28,1.28,,0.00,0.00,0.00,
    (3) น้ำยางข้น,97.1,44.1,44.1,30.9,30.48,-54.56,-54.56,-29.82,0.02,0.01,0.01,0.01
    (4) ยางพาราอื่น ๆ,0.3,0.8,0.8,0.0,-90.28,203.63,203.63,-95.68,0.00,0.00,0.00,0.00
     (4.2) ในลักษณะขั้นปฐม,0.3,0.8,0.8,0.0,-90.27,203.38,203.38,-98.86,0.00,0.00,0.00,0.00
     (4.3) ยางเครฟ,,,,0.0,,,,,,,,0.00
     (4.4) อื่น ๆ,,0.0,0.0,0.0,,,,"2,785.71",,0.00,0.00,0.00
   1.1.10 กาแฟ,0.7,0.0,0.0,1.9,-46.21,-94.55,-94.55,"5,058.33",0.00,0.00,0.00,0.00
    (1) กาแฟดิบ,0.5,0.0,0.0,0.3,76.92,-98.43,-98.43,"3,791.36",0.00,0.00,0.00,0.00
    (2) กาแฟคั่ว,0.2,0.0,0.0,1.6,-82.79,-82.78,-82.78,"5,430.00",0.00,0.00,0.00,0.00
   1.1.11 ใบยาสูบ,0.0,0.0,0.0,0.0,-99.99,"3,450.00","3,450.00",-94.37,0.00,0.00,0.00,0.00
    (1) พันธุ์เวอร์จิเนีย,,,,0.0,,,,,,,,0.00
    (2) พันธุ์เบอร์เลย์,,,,0.0,,,,,,,,0.00
    (3) พันธุ์โอเรียนตอล,,,,,,,,,,,,
    (4) เศษใบยาสูบและอื่นๆ,0.0,0.0,0.0,0.0,-66.67,"3,450.00","3,450.00",-98.59,0.00,0.00,0.00,0.00
