สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
นิวซีแลนด์,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
รวมทุกสินค้า,"50,277.5","55,591.7","55,591.7","53,431.9",13.08,10.57,10.57,-3.89,100.00,100.00,100.00,100.00
" 1. สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)",928.2,907.5,907.5,"1,121.3",-5.30,-2.23,-2.23,23.55,1.85,1.63,1.63,2.10
  1.1 สินค้ากสิกรรม,799.5,805.4,805.4,"1,016.9",-11.23,0.74,0.74,26.26,1.59,1.45,1.45,1.90
   1.1.1 ข้าว,300.3,323.3,323.3,363.7,-17.54,7.67,7.67,12.51,0.60,0.58,0.58,0.68
    (1) ข้าวขาว,65.2,87.6,87.6,92.2,-22.18,34.30,34.30,5.28,0.13,0.16,0.16,0.17
     (1.1) ข้าวขาว 100%,33.2,50.4,50.4,60.5,-15.69,52.06,52.06,20.09,0.07,0.09,0.09,0.11
     (1.2) ข้าวขาว 5-10%,31.9,36.7,36.7,30.8,-28.03,15.16,15.16,-15.94,0.06,0.07,0.07,0.06
     (1.3) ข้าวขาว 15-20%,,,,,,,,,,,,
     (1.4) ข้าวขาว 25-35%,,,,,,,,,,,,
     (1.5) ข้าวขาว 40-45%,,,,,,,,,,,,
     (1.6) ข้าวขาวอื่นๆ,0.2,0.5,0.5,0.8,1.53,143.54,143.54,72.97,0.00,0.00,0.00,0.00
    (2) ข้าวหอมมะลิ,197.6,197.5,197.5,232.8,-18.03,-0.06,-0.06,17.88,0.39,0.36,0.36,0.44
     (2.1) ข้าวหอมมะลิ 100%,194.9,195.9,195.9,228.1,-17.96,0.55,0.55,16.39,0.39,0.35,0.35,0.43
     (2.2) ข้าวหอมมะลิ 5-10%,2.7,1.5,1.5,4.7,-22.97,-43.71,-43.71,209.93,0.01,0.00,0.00,0.01
     (2.3) ข้าวหอมมะลิ 15-20%,,,,,,,,,,,,
    (3) ปลายข้าว,3.8,1.3,1.3,2.3,-18.22,-65.24,-65.24,76.55,0.01,0.00,0.00,0.00
     (3.1) ปลายข้าวขาว,2.3,0.6,0.6,1.0,-26.80,-72.54,-72.54,64.07,0.00,0.00,0.00,0.00
     (3.2) ปลายข้าวหอมมะลิ,0.0,,,0.1,-48.49,,,,0.00,,,0.00
     (3.3) ปลายข้าวอื่น ๆ,1.5,0.7,0.7,1.2,1.71,-53.07,-53.07,79.82,0.00,0.00,0.00,0.00
    (4) ข้าวเหนียว,18.7,15.4,15.4,17.1,7.25,-17.66,-17.66,11.19,0.04,0.03,0.03,0.03
    (5) ข้าวนึ่ง,4.4,6.7,6.7,4.3,-18.71,53.20,53.20,-35.95,0.01,0.01,0.01,0.01
    (6) ข้าวกล้อง,10.6,14.8,14.8,15.0,-10.64,39.58,39.58,1.39,0.02,0.03,0.03,0.03
     (6.1) ข้าวกล้องขาว,0.0,0.1,0.1,0.2,,"11,283.33","11,283.33",195.61,0.00,0.00,0.00,0.00
     (6.2) ข้าวกล้องหอมมะลิ,2.3,2.0,2.0,2.7,9.33,-11.87,-11.87,32.28,0.00,0.00,0.00,0.01
     (6.3) ข้าวกล้องเจ้าสีดำ สีม่วงดำ และสีม่วง,,,,,,,,,,,,
     (6.4) ข้าวกล้องเจ้าสีแดง,,,,,,,,,,,,
     (6.5) ข้าวกล้องเหนียวสีดำ สีม่วงดำ สีม่วง และสีแดง,,,,,,,,,,,,
     (6.6) ข้าวกล้องสี,,,,,,,,,,,,
     (6.7) ข้าวกล้องอื่น ๆ,8.3,12.7,12.7,12.1,-14.96,53.04,53.04,-4.60,0.02,0.02,0.02,0.02
