สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
ไต้หวัน,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2561,2562,2562,2563,2561,2562,2562,2563,2561,2562,2562,2563
,,,(ม.ค.-พ.ย.),(ม.ค.-พ.ย.),,,(ม.ค.-พ.ย.),(ม.ค.-พ.ย.),,,(ม.ค.-พ.ย.),(ม.ค.-พ.ย.)
รวมทุกสินค้า,"127,342.3","124,171.0","114,039.9","107,336.9",-6.26,-2.49,-3.20,-5.88,100.00,100.00,100.00,100.00
" 1. สินค้าเกษตรกรรม (กสิกรรม,ปศุสัตว์,ประมง)","10,976.8","10,059.2","9,164.5","8,933.1",-8.66,-8.36,-9.33,-2.53,8.62,8.10,8.04,8.32
  1.1 สินค้ากสิกรรม,"8,488.9","7,939.1","7,324.9","6,903.7",-7.00,-6.48,-6.91,-5.75,6.67,6.39,6.42,6.43
   1.1.1 ข้าว,463.3,377.8,351.5,493.0,-16.81,-18.45,-15.70,40.27,0.36,0.30,0.31,0.46
    (1) ข้าวขาว,209.3,211.9,206.3,276.0,-21.20,1.26,0.15,33.74,0.16,0.17,0.18,0.26
     (1.1) ข้าวขาว 100%,172.3,168.9,165.0,203.5,15.53,-1.96,-2.39,23.31,0.14,0.14,0.14,0.19
     (1.2) ข้าวขาว 5-10%,20.5,42.5,41.2,35.8,-71.28,107.49,100.94,-13.18,0.02,0.03,0.04,0.03
     (1.3) ข้าวขาว 15-20%,10.4,,,,,,,,0.01,,,
     (1.4) ข้าวขาว 25-35%,,,,,,,,,,,,
     (1.5) ข้าวขาว 40-45%,,,,,,,,,,,,
     (1.6) ข้าวขาวอื่นๆ,6.0,0.5,0.2,36.7,-86.60,-92.13,-97.51,"24,305.25",0.00,0.00,0.00,0.03
    (2) ข้าวหอมมะลิ,117.8,100.2,87.7,100.0,-5.06,-14.89,-6.68,13.94,0.09,0.08,0.08,0.09
     (2.1) ข้าวหอมมะลิ 100%,117.8,100.2,87.7,100.0,-5.06,-14.89,-6.68,13.94,0.09,0.08,0.08,0.09
     (2.2) ข้าวหอมมะลิ 5-10%,,,,,,,,,,,,
     (2.3) ข้าวหอมมะลิ 15-20%,,,,,,,,,,,,
    (3) ปลายข้าว,41.7,15.0,11.6,2.7,59.38,-63.90,-71.92,-77.11,0.03,0.01,0.01,0.00
     (3.1) ปลายข้าวขาว,1.9,2.9,,,-56.00,47.90,,,0.00,0.00,,
     (3.2) ปลายข้าวหอมมะลิ,,,,,,,,,,,,
     (3.3) ปลายข้าวอื่น ๆ,39.7,12.2,11.6,2.7,82.68,-69.34,-70.54,-77.11,0.03,0.01,0.01,0.00
    (4) ข้าวเหนียว,92.7,49.4,44.6,114.2,-33.19,-46.71,-39.56,156.14,0.07,0.04,0.04,0.11
    (5) ข้าวนึ่ง,,,,,,,,,,,,
    (6) ข้าวกล้อง,1.9,1.2,1.2,0.3,-19.58,-34.91,-34.91,-78.05,0.00,0.00,0.00,0.00
     (6.1) ข้าวกล้องขาว,,,,,,,,,,,,
     (6.2) ข้าวกล้องหอมมะลิ,1.1,0.5,0.5,0.2,86.16,-58.14,-58.14,-51.81,0.00,0.00,0.00,0.00
     (6.3) ข้าวกล้องเจ้าสีดำ สีม่วงดำ และสีม่วง,,,,,,,,,,,,
     (6.4) ข้าวกล้องเจ้าสีแดง,,,,,,,,,,,,
     (6.5) ข้าวกล้องเหนียวสีดำ สีม่วงดำ สีม่วง และสีแดง,,,,,,,,,,,,
     (6.6) ข้าวกล้องสี,,,,,,,,,,,,
     (6.7) ข้าวกล้องอื่น ๆ,0.7,0.8,0.8,0.0,-57.18,1.00,1.00,-94.86,0.00,0.00,0.00,0.00
    (7) ข้าวอื่นๆ,0.0,,,,0.00,,,,0.00,,,
   1.1.2 ข้าวโพด,23.3,32.4,32.3,52.0,-89.64,39.32,38.82,60.92,0.02,0.03,0.03,0.05
    (1) ข้าวโพดสำหรับบริโภค,0.0,,,,,,,,0.00,,,
    (2) ข้าวโพดสำหรับเลี้ยงสัตว์,0.8,,,,-99.61,,,,0.00,,,
    (3) ข้าวโพดสำหรับทำพันธุ์,22.5,32.4,32.3,52.0,-8.69,44.12,43.61,60.92,0.02,0.03,0.03,0.05
    (4) ข้าวโพดอื่น ๆ,,0.0,0.0,0.0,,,,200.00,,0.00,0.00,0.00
   1.1.3 ถั่ว,50.7,77.0,75.5,40.1,-11.58,51.98,49.49,-46.97,0.04,0.06,0.07,0.04
    (1) ถั่วเขียวผิวมัน,3.4,28.8,28.8,11.7,-58.92,744.72,744.72,-59.47,0.00,0.02,0.03,0.01
    (2) ถั่วเขียวผิวดำ,,,,,,,,,,,,
    (3) ถั่วนิ้วนางแดง,,,,,,,,,,,,
    (4) ถั่วอื่น ๆ,47.2,48.2,46.8,28.4,-3.13,2.06,-0.73,-39.28,0.04,0.04,0.04,0.03
   1.1.4 ผลิตภัณฑ์มันสำปะหลัง,"4,567.0","4,227.5","3,905.7","3,378.1",10.07,-7.43,-6.97,-13.51,3.59,3.40,3.42,3.15
    (1) มันสำปะหลังอัดเม็ดและมันเส้น,,,,,,,,,,,,
     (1.1) มันสำปะหลังอัดเม็ด,,,,,,,,,,,,
     (1.2) มันเส้น,,,,,,,,,,,,
    (2) แป้งมันสำปะหลัง,"3,821.6","3,516.6","3,245.1","2,715.3",12.18,-7.98,-7.85,-16.33,3.00,2.83,2.85,2.53
     (2.1) แป้งมันสำปะหลัง,1.0,1.4,1.0,0.4,119.12,43.01,7.88,-65.21,0.00,0.00,0.00,0.00
     (2.2) แป้งหยาบทำจากมันสำปะหลัง,,,,,,,,,,,,
     (2.3) สตาร์ชทำจากมันสำปะหลัง,"3,820.6","3,515.3","3,244.1","2,714.9",12.17,-7.99,-7.86,-16.31,3.00,2.83,2.84,2.53
     (2.4) แป้งมันสำปะหลังอื่น ๆ,,,,,,,,,,,,
    (3) เด๊กตรินและโมดิไฟด์สตาร์ชอื่น ๆ,731.5,694.9,646.0,647.9,-0.01,-5.00,-2.66,0.30,0.57,0.56,0.57,0.60
    (4) ผลิตภัณท์มันสำปะหลัง อื่น ๆ,14.0,15.9,14.6,14.9,25.39,14.07,10.95,2.07,0.01,0.01,0.01,0.01
     (4.1) หัวมันสำปะหลัง,,,,,,,,,,,,
     (4.2) สาคู ทำจากแป้งมันสำปะหลัง,13.3,15.3,13.9,14.2,25.83,14.41,11.15,1.85,0.01,0.01,0.01,0.01
     (4.3) กากและมันสำปะหลังอื่น ๆ,0.6,0.7,0.7,0.7,16.48,6.85,6.85,6.79,0.00,0.00,0.00,0.00
   1.1.5 ผลไม้สด แช่เย็น แช่แข็งและแห้ง,515.2,539.4,527.7,483.6,-22.09,4.70,3.52,-8.35,0.40,0.43,0.46,0.45
    (1) ผลไม้สด,407.3,415.4,407.3,386.0,-21.75,1.98,0.03,-5.23,0.32,0.33,0.36,0.36
     (1.1) ลำไยสด,,,,,,,,,,,,
     (1.2) ทุเรียนสด,404.6,380.0,379.9,381.1,-18.57,-6.09,-6.07,0.30,0.32,0.31,0.33,0.36
     (1.3) มะม่วงสด,0.9,0.8,0.8,0.0,-49.78,-13.33,-13.33,-99.91,0.00,0.00,0.00,0.00
     (1.4) ลิ้นจี่สด,,,,,,,,,,,,
     (1.5) กล้วยสด,,0.0,0.0,,,,,,,0.00,0.00,
     (1.6) ผลไม้จำพวกส้ม สด,0.0,,,0.0,,,,,0.00,,,0.00
     (1.7) เงาะสด,,,,0.2,,,,,,,,0.00
     (1.8) มังคุดสด,0.2,31.3,23.3,1.5,-87.59,"16,285.61","12,082.52",-93.51,0.00,0.03,0.02,0.00
     (1.9) สับปะรดสด,0.3,,,,3.83,,,,0.00,,,
