สินค้าส่งออกสำคัญของไทยตามโครงสร้างสินค้าส่งออก,,,,,,,,,,,,
เมียนม่า,,,,,,,,,,,,
,มูลค่า : ล้านบาท,,,,อัตราการขยายตัว(%),,,,สัดส่วน (%),,,
สินค้า,2559,2560,2560,2561,2559,2560,2560,2561,2559,2560,2560,2561
,,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.),,,(ม.ค.-ธ.ค.),(ม.ค.-ธ.ค.)
     (4.2) สาคู ทำจากแป้งมันสำปะหลัง,9.4,6.3,6.3,2.7,-38.41,-33.70,-33.70,-56.71,0.01,0.00,0.00,0.00
     (4.3) กากและมันสำปะหลังอื่น ๆ,,,,,,,,,,,,
   1.1.5 ผลไม้สด แช่เย็น แช่แข็งและแห้ง,541.9,408.2,408.2,377.0,-10.37,-24.67,-24.67,-7.65,0.37,0.28,0.28,0.25
    (1) ผลไม้สด,129.9,167.9,167.9,137.2,34.53,29.23,29.23,-18.31,0.09,0.11,0.11,0.09
     (1.1) ลำไยสด,0.4,,,0.0,84.44,,,,0.00,,,0.00
     (1.2) ทุเรียนสด,1.3,0.4,0.4,0.1,-3.86,-66.08,-66.08,-77.71,0.00,0.00,0.00,0.00
     (1.3) มะม่วงสด,10.5,4.9,4.9,3.1,108.56,-53.34,-53.34,-36.98,0.01,0.00,0.00,0.00
     (1.4) ลิ้นจี่สด,0.0,,,0.0,-76.09,,,,0.00,,,0.00
     (1.5) กล้วยสด,,0.1,0.1,0.1,,,,49.73,,0.00,0.00,0.00
     (1.6) ผลไม้จำพวกส้ม สด,10.5,15.2,15.2,5.2,85.72,45.00,45.00,-65.65,0.01,0.01,0.01,0.00
     (1.7) เงาะสด,3.7,21.1,21.1,32.2,-40.55,465.10,465.10,52.21,0.00,0.01,0.01,0.02
     (1.8) มังคุดสด,8.7,0.6,0.6,0.0,"2,153.27",-92.66,-92.66,-97.24,0.01,0.00,0.00,0.00
     (1.9) สับปะรดสด,1.2,2.0,2.0,1.5,529.37,58.75,58.75,-25.22,0.00,0.00,0.00,0.00
     (1.10) ผลไม้สดอื่น ๆ,93.5,123.6,123.6,95.0,20.95,32.13,32.13,-23.15,0.06,0.08,0.08,0.06
    (2) ผลไม้แช่แข็ง,0.1,,,,-38.35,,,,0.00,,,
     (2.1) สับปะรดแช่เย็นจนแข็ง,,,,,,,,,,,,
     (2.2) ทุเรียนแช่เย็นจนแข็ง,,,,,,,,,,,,
     (2.3) ลำไยแช่เย็นจนแข็ง,,,,,,,,,,,,
     (2.4) ผลไม้แช่เย็นจนแข็งอื่น ๆ,0.1,,,,-38.35,,,,0.00,,,
    (3) ผลไม้แห้ง,408.8,239.5,239.5,239.5,-19.15,-41.42,-41.42,0.00,0.28,0.16,0.16,0.16
     (3.1) ลำไยแห้ง,400.6,232.0,232.0,234.3,-16.54,-42.09,-42.09,0.99,0.27,0.16,0.16,0.16
     (3.2) ผลไม้แห้งอื่น ๆ,8.1,7.5,7.5,5.2,-68.09,-8.35,-8.35,-30.81,0.01,0.01,0.01,0.00
    (4) ผลไม้อื่น ๆ,3.1,0.8,0.8,0.3,36.44,-73.20,-73.20,-59.51,0.00,0.00,0.00,0.00
   1.1.6 ผักสด แช่เย็น แช่แข็งและแห้ง,60.8,319.6,319.6,349.9,10.78,425.88,425.88,9.47,0.04,0.22,0.22,0.24
    (1) ผักสดหรือแช่เย็น,34.3,202.1,202.1,169.1,-23.83,489.29,489.29,-16.36,0.02,0.14,0.14,0.11
     (1.1) หน่อไม้ฝรั่งสดหรือแช่เย็น,0.0,,,,,,,,0.00,,,
     (1.2) หอมหัวใหญ่ หอมหัวเล็ก กระเทียม สดหรือแช่เย็น,0.0,0.9,0.9,2.1,,"110,400.00","110,400.00",137.56,0.00,0.00,0.00,0.00
     (1.3) พริกสดหรือแช่เย็น,2.4,135.8,135.8,87.1,-92.96,"5,585.30","5,585.30",-35.85,0.00,0.09,0.09,0.06
     (1.4) ข้าวโพดอ่อนสดหรือแช่เย็น,0.0,,,,-51.23,,,,0.00,,,
     (1.5) กระเจี๊ยบสดหรือแช่เย็น,0.2,0.0,0.0,0.0,"1,308.00",-93.47,-93.47,-4.35,0.00,0.00,0.00,0.00
     (1.6) เห็ดสดหรือแช่เย็น,1.0,3.6,3.6,4.4,"2,024.30",264.26,264.26,23.06,0.00,0.00,0.00,0.00
     (1.7) ผักสดหรือแช่เย็นอื่น ๆ,30.7,61.9,61.9,75.5,179.06,101.81,101.81,21.95,0.02,0.04,0.04,0.05
    (2) ผักแช่แข็ง,2.3,3.0,3.0,7.7,-51.81,30.63,30.63,159.43,0.00,0.00,0.00,0.01
     (2.1) พืชผักตระกูลถั่ว แช่แข็ง,0.5,0.4,0.4,2.7,68.83,-17.43,-17.43,598.83,0.00,0.00,0.00,0.00
     (2.2) ข้าวโพดหวานแช่แข็ง,0.6,0.3,0.3,3.4,412.69,-44.63,-44.63,872.84,0.00,0.00,0.00,0.00
     (2.3) กระเจี๊ยบแช่แข็ง,,,,,,,,,,,,
     (2.4) ผักต่าง ๆ ผสมกัน แช่แข็ง,0.0,1.3,1.3,1.5,-98.58,"2,687.42","2,687.42",16.41,0.00,0.00,0.00,0.00
     (2.5) ผักแช่แข็งอื่น ๆ,1.1,0.9,0.9,0.1,10.61,-17.98,-17.98,-90.09,0.00,0.00,0.00,0.00
    (3) ผักแห้ง,23.2,113.3,113.3,172.6,385.07,388.59,388.59,52.36,0.02,0.08,0.08,0.12
    (4) ผักอื่น ๆ,1.0,1.2,1.2,0.5,204.81,20.31,20.31,-58.62,0.00,0.00,0.00,0.00
   1.1.7 เครื่องเทศและสมุนไพร,"1,014.4","1,184.9","1,184.9","1,930.6",19.81,16.81,16.81,62.93,0.69,0.81,0.81,1.30
    (1) พริกไทย,0.4,0.0,0.0,0.0,122.40,-90.48,-90.48,-97.47,0.00,0.00,0.00,0.00
     (1.1) พริกไทยไม่บดหรือไม่ป่น,0.3,0.0,0.0,0.0,487.81,-89.89,-89.89,-96.79,0.00,0.00,0.00,0.00
     (1.2) พริกไทยบดหรือป่น,0.1,0.0,0.0,,-20.64,-92.21,-92.21,,0.00,0.00,0.00,
    (2) มะขามเปียก,,,,,,,,,,,,
    (3) เครื่องเทศ,219.3,293.2,293.2,359.8,2.55,33.67,33.67,22.74,0.15,0.20,0.20,0.24
"     (3.1) พริกในตระกูลแคปซีกัม, พิเมนตา (แห้ง/ป่น)",217.7,292.5,292.5,338.1,2.61,34.32,34.32,15.60,0.15,0.20,0.20,0.23
     (3.2) วานิลา,0.1,0.1,0.1,20.2,-83.26,2.80,2.80,"26,116.23",0.00,0.00,0.00,0.01
     (3.3) กานพลู,,,,,,,,,,,,
