"Name","Gross Import","Share"
"Australia","2733246","18.703471347464852"
"Belgium","5156","0.03528226082377099"
"Bangladesh","4133","0.02828192086591263"
"Brazil","5137","0.03515224473462211"
"China","274494","1.8783492828859958"
"Egypt","31384","0.21475920746571545"
"Spain","7288","0.049871434616687936"
"France","6021","0.04120141435607547"
"United Kingdom","1249","0.008546847123524043"
"Hong Kong","83954","0.5744931972844977"
"Indonesia","497376","3.4035201240271373"
"India","1894957","12.967099907647519"
"Israel","41174","0.28175170813769335"
"Japan","6272","0.04291899532325284"
"South Korea","2197","0.015033965676847335"
"Sri Lanka","29998","0.2052748759099073"
"Mexico","1817","0.012433643893869646"
"Myanmar","50179","0.34337249144220416"
"Malaysia","4267190","29.200176602906776"
"Netherlands","19492","0.13338282156263465"
"New Zealand","961","0.0065760769301093725"
"Pakistan","461026","3.1547788166291397"
"Peru","4911","0.03360573756895643"
"Philippines","1589812","10.87900730115613"
"Thailand","2142945","14.66406990321876"
"United States of America","10761","0.07363700712269194"
"Vietnam","68553","0.469104892601236"
"South Africa","49785","0.3406763683303799"
"Taiwan","322108","2.2041696022931005"
