"Name","Gross Import","Share"
"Australia","84383","0.16880783733440496"
"Chile","25296","0.05060454182964706"
"Germany","2549","0.005099263801540574"
"Ecuador","39660812","79.34128794480424"
"Egypt","7713","0.015429824127611787"
"Fiji","9198","0.018400560394888268"
"Indonesia","12188","0.02438204284549883"
"India","23225","0.046461515021883025"
"Sri Lanka","27006","0.0540253896525715"
"Mexico","2978284","5.95804464178402"
"Panama","590609","1.1815108256430273"
"Philippines","6517468","13.038167379403312"
"Thailand","21113","0.04223646788620091"
"Tonga","8571","0.017146249526482644"
"United States of America","7423","0.014849680344776649"
"Vietnam","5599","0.01120077600032392"
"Samoa","6171","0.012345059599571157"
