"Name","Gross Import","Share"
"Australia","28626","0.06648279426167043"
"Belgium","1043","0.0024223277585035375"
"Brazil","3117","0.007239113732747389"
"China","11619572","26.986013228696514"
"Ecuador","4496506","10.442963854341041"
"France","18246","0.04237563977148183"
"United Kingdom","107037","0.24858935406226573"
"Indonesia","30395","0.07059122935734902"
"Japan","4698","0.010910925991802127"
"South Korea","4430","0.010288506203423461"
"Malaysia","12139","0.028192364966897834"
"New Zealand","5483","0.012734058580896353"
"Peru","4085","0.009487256848980778"
"Philippines","25512604","59.2520506815996"
"Thailand","1193571","2.772023168786985"
"United States of America","7215","0.016756562586388326"
"Vietnam","7637","0.01773664150689503"
"Taiwan","1353","0.0031422909465534865"
