"Name","Gross Import","Share"
"Brazil","55369","1.0715723387290308"
"China","81353","1.5744482376893718"
"Germany","6958","0.13466019492634138"
"Ecuador","128361","2.4842077149957036"
"Egypt","4094","0.07923237108773233"
"Fiji","1812","0.03506816228895237"
"Indonesia","4166","0.08062580799987615"
"India","638724","12.36141108711303"
"Sri Lanka","5367","0.10386910982605263"
"Mexico","434763","8.414094614366334"
"New Zealand","1101","0.021307972781532316"
"Pakistan","12619","0.24421917214364786"
"Philippines","1516212","29.343691214380268"
"Singapore","8457","0.16367077730555749"
"Thailand","765928","14.8232270450622"
"United States of America","1314459","25.439106806939314"
"Vietnam","160370","3.103687188895856"
"South Africa","24490","0.47396208303335735"
"Taiwan","2477","0.0479381004358361"
