"Name","Gross Import","Share"
"United Arab Emirates","14408","0.05259869611599809"
"Australia","9887670","36.09651232823923"
"Belgium","847720","3.0947367206728136"
"Brunei","8225","0.030026670985152985"
"Canada","24321","0.08878767963889433"
"Switzerland","17294","0.0631344982391776"
"China","1478","0.0053956741296116864"
"Germany","2312740","8.443025295343796"
"Denmark","919533","3.3569015016402046"
"France","2929445","10.694405007185592"
"United Kingdom","121995","0.4453621552381446"
"Indonesia","514692","1.878965026466913"
"India","14726","0.053759605705454454"
"Iran","45017","0.1643417200898033"
"Italy","13890","0.050707654709273554"
"South Korea","106469","0.3886820222636175"
"Netherlands","161559","0.5897968313301315"
"New Zealand","6202310","22.64251935780234"
"Pakistan","12944","0.047254131213595174"
"Saudi Arabia","5624","0.020531306701580595"
"Singapore","2063225","7.532131093415474"
"Thailand","574161","2.0960660716725137"
"United States of America","379347","1.3848665724261193"
"Vietnam","208297","0.7604213357075273"
"Taiwan","5224","0.01907104306704428"
