"Name","Gross Import","Share"
"Angola","15655","0.0071821572769858386"
"United Arab Emirates","19677","0.009027359229591208"
"Australia","9925927","4.553789130238276"
"Brazil","18814","0.008631434494360369"
"Canada","11912077","5.464989492786051"
"China","68843366","31.583767619872212"
"Spain","487268","0.22354745525661676"
"Fiji","248579","0.11404238094895322"
"France","12519","0.005743431935521285"
"Faroe Islands","614068","0.28172040592552794"
"United Kingdom","28735633","13.183253635243975"
"Indonesia","5805772","2.6635559002440514"
"India","3286258","1.5076602880072136"
"Iceland","351565","0.16129001105611793"
"Japan","7582383","3.4786245442570243"
"South Korea","23270","0.01067574575761485"
"Sri Lanka","4333333","1.988034438808871"
"Maldives","2345849","1.076222067458317"
"Mexico","13014","0.005970526656192508"
"Myanmar","12944","0.005938412251249102"
"Mauritania","4110","0.0018855743473913636"
"Malaysia","5824","0.002671918491291314"
"Netherlands","1755","0.0008051540096525166"
"Norway","68368777","31.366037000905273"
"New Zealand","621297","0.2850369064017548"
"Oman","325508","0.1493356532045421"
"Pakistan","704926","0.323403985987641"
"Philippines","2326803","1.06748419665043"
"Palau","18396","0.008439665619126893"
"Thailand","639658","0.29346051481840996"
"United States of America","228414","0.10479113843918514"
"Vietnam","137282","0.06298185342057937"
