"Name","Gross Import","Share"
"United Arab Emirates","7443","0.0035211878454461856"
"Australia","2182394","1.032462612760269"
"Belgium","6688","0.003164007028126305"
"Bangladesh","194183","0.09186548695314747"
"Brazil","14297","0.0067637273446653386"
"Brunei","1515347","0.716891231765866"
"Bhutan","7989","0.003779493443137119"
"Canada","1018","0.000481602744412766"
"China","233377","0.11040766570021422"
"Germany","26525","0.012548637323721627"
"Spain","29879","0.01413537170953736"
"United Kingdom","13299","0.006291586343757735"
"Hong Kong","8627","0.0040813230609518"
"Indonesia","138144","0.0653541547388577"
"India","47358253","22.404582136929378"
"Italy","214976","0.10170238858828956"
"Japan","6220690","2.942928660256433"
"Cambodia","3336943","1.578664937867356"
"South Korea","274225","0.1297323306351579"
"Sri Lanka","42420","0.02006835797444944"
"Myanmar","1498133","0.7087475091309728"
"Malaysia","126991","0.060077813473203893"
"Netherlands","5159","0.00244065673715664"
"New Zealand","1534","0.0007257157268459558"
"Pakistan","1596216","0.755149318541815"
"Philippines","1029","0.00048680670334060527"
"Russia","2608","0.0012338113530731764"
"Thailand","100624967","47.60438139847152"
"Turkey","6635","0.0031389334078376252"
"Ukraine","964","0.00045605603694882745"
"United States of America","3229079","1.5276358627953142"
"Vietnam","42187174","19.958210979782795"
"Taiwan","270327","0.12788823682600176"
