"Name","Gross Import","Share"
"United Arab Emirates","16195","0.020994258527253347"
"Australia","3343398","4.334187216517554"
"Canada","1491","0.0019328459070166557"
"China","161028","0.20874735795779883"
"Spain","13213","0.017128566713220036"
"Fiji","8364","0.010842604403948564"
"France","1383","0.0017928409721019683"
"India","150731","0.19539892448727536"
"Italy","264612","0.3430276466448634"
"Japan","2188079","2.8364986850295755"
"Cambodia","169210","0.21935402811957636"
"South Korea","12109","0.01569740515631434"
"Myanmar","1320808","1.7122188710629478"
"Pakistan","80538","0.10440479118665824"
"Singapore","7465","0.009677192954982787"
"Thailand","14292461","18.527917334034328"
"United States of America","38654790","50.10982738973062"
"Vietnam","16447411","21.32146950527882"
"Undeclared","6852","0.008882535315142942"
