"Name","Gross Import","Share"
"United Arab Emirates","12112","0.465801365253341"
"Australia","446728","17.18019421209499"
"Belgium","2080","0.07999230843188156"
"Germany","157705","6.0649937506009035"
"France","12141","0.4669166426305163"
"United Kingdom","62621","2.408268435727334"
"Malaysia","7388","0.2841265262955485"
"Netherlands","1763411","67.81697913662148"
"Peru","14587","0.5609845207191616"
"Russia","3651","0.14040957600230747"
"Singapore","8852","0.34042880492260363"
"United States of America","108974","4.190904720699932"
