"Name","Gross Import","Share"
"China","118084","1.761170780947188"
"Costa Rica","11807","0.17609619771216634"
"France","1790","0.026697060549231617"
"United Kingdom","1424","0.021238331967656884"
"Indonesia","3465","0.051678946817367344"
"Japan","53828","0.8028208800246031"
"South Korea","1388","0.020701407844879043"
"Malaysia","7678","0.11451398374134097"
"Philippines","6337417","94.51977953895519"
"Thailand","55377","0.8259235318630164"
"United States of America","17727","0.2643903867911893"
"Vietnam","6638","0.09900284241664775"
"Taiwan","88235","1.315986110369526"
