"Name","Gross Import","Share"
"China","3422","0.003565321726318361"
"Costa Rica","5297369","5.5192357650570925"
"Ecuador","6887","0.007175444397765796"
"Indonesia","1274384","1.3277583176132373"
"South Korea","6146","0.006403409506122924"
"Sri Lanka","29441","0.03067406105918728"
"Mexico","1529","0.0015930382581942645"
"Malaysia","657605","0.6851471051535902"
"Philippines","87679856","91.35210273444339"
"Thailand","32897","0.03427480678863096"
"Uganda","37483","0.039052879680768884"
"United States of America","26140","0.027234807108697242"
"Vietnam","6964","0.007255669346020183"
"Taiwan","919995","0.9585266398609762"
