"Name","Gross Import","Share"
"United Arab Emirates","27906","0.012090943758342094"
"Australia","1096534","0.4750996532326342"
"Bangladesh","592094","0.25653892545158047"
"Brazil","5266","0.0022816207923539553"
"Canada","1652298","0.7158977348964783"
"Chile","326806","0.14159653715648055"
"China","49797217","21.57583853181957"
"Colombia","494120","0.21408934028065632"
"Germany","277615","0.12028335667856879"
"Denmark","5072","0.002197565639730205"
"Egypt","138621","0.060060872741530116"
"Spain","729196","0.31594165501354626"
"Fiji","71623","0.03103238245551981"
"France","2369836","1.0267882818209129"
"United Kingdom","1978506","0.8572351742113661"
"Greece","68537","0.02969529894522655"
"Indonesia","6669999","2.889937030645668"
"India","2923499","1.2666760548473215"
"Iceland","7798","0.0033786705162886714"
"Italy","391343","0.16955874017132053"
"Japan","22308164","9.665547060699197"
"South Korea","2969771","1.2867245085700336"
"Sri Lanka","839914","0.3639128838186821"
"Macao","123575","0.05354183239938094"
"Morocco","75933","0.03289979332051137"
"Maldives","688545","0.29832863434700985"
"Myanmar","113104","0.049005020527611416"
"Mauritius","17464","0.007566696832067883"
"Malaysia","2204481","0.955144262428644"
"Nicaragua","43282","0.018752964514748175"
"Netherlands","1010625","0.4378775186617387"
"Norway","113310679","49.09456916106051"
"New Zealand","1232922","0.5341930251710261"
"Oman","184016","0.07972934518150501"
"Pakistan","276127","0.11963864499246499"
"Philippines","3316638","1.4370129550913857"
"Senegal","25780","0.011169803271341618"
"Singapore","103757","0.044955208612280535"
"Suriname","15159","0.006568000302182607"
"Sweden","8552","0.003705359099166545"
"Seychelles","30603","0.013259483689405258"
"Thailand","1966460","0.8520159558170068"
"Turkey","107877","0.04674029742057873"
"United States of America","319610","0.13847869757771508"
"Vietnam","63720","0.02760821817105849"
"Taiwan","9820198","4.25483629734765"
