"Name","Gross Import","Share"
"Belgium","171996","2.0200738941423775"
"Bahrain","8193","0.0962258739430481"
"Denmark","48187","0.5659509566329377"
"France","105534","1.239485094679072"
"United Kingdom","12022","0.1411970531604204"
"Croatia","18090","0.21246503840226294"
"Indonesia","4173","0.049011420964767446"
"Ireland","9150","0.10746573252519101"
"Italy","672508","7.898531677491931"
"Netherlands","6393","0.0750850741020269"
"New Zealand","7229328","84.90765346282778"
"Saudi Arabia","53805","0.6319337419145249"
"United States of America","174963","2.054920979213661"
