,Milk,Beef,"Fish, excluding fillets",Rice,"Black or green gram beans, dried",Guavas & mangoes,Pineapples,Bananas and plantains
Japan,0.00,83523.00,7704381.00,115805247.00,81813.00,4710328.00,5216.00,1863445.00
South Korea,14478.00,0.00,1086.00,4374104.00,17933.00,21271704.00,68567.00,74625.00
Hong Kong,22043376.00,0.00,147778.00,173969722.00,916856.00,5333356.00,39048.00,1992195.00
Taiwan,4341.00,0.00,166848.00,14292461.00,1313733.00,226097.00,13358.00,15948.00
Malaysia,256136.00,0.00,16754677.00,177997193.00,1558584.00,3012055.00,125502.00,104698.00
Singapore,2923619.00,0.00,4092322.00,105754042.00,1186215.00,2712320.00,156261.00,248449.00
Indonesia,93679.00,0.00,12297.00,109313436.00,395399.00,3302.00,0.00,0.00
Myanmar,568689.00,0.00,1108364.00,3754635.00,27601.00,2042642.00,7041.00,3140.00
Philippines,5404137.00,0.00,8639.00,287978586.00,176918.00,0.00,0.00,0.00
Australia,0.00,0.00,2271.00,61960322.00,279272.00,765928.00,280274.00,295131.00
New Zealand,4388.00,0.00,0.00,10452160.00,39580.00,154378.00,277627.00,49130.00
