,Milk,Beef,"Fish, excluding fillets",Rice,"Black or green gram beans, dried",Guavas & mangoes,Pineapples,Bananas and plantains
Japan,1496.00,0.00,158968.00,92330035.00,173145.00,7885502.00,57348.00,2101554.00
South Korea,54399.00,0.00,0.00,7714101.00,0.00,36743240.00,48574.00,69082.00
Hong Kong,13569337.00,0.00,1966460.00,190248923.00,555633.00,1857768.00,441242.00,1193571.00
Taiwan,35888.00,0.00,639658.00,14007026.00,130880.00,121993.00,12505.00,18645.00
Malaysia,198821.00,0.00,26462294.00,191980857.00,687075.00,6126766.00,107430.00,124954.00
Singapore,2024758.00,0.00,1631159.00,100624967.00,678106.00,4433911.00,213984.00,201400.00
Indonesia,972717.00,0.00,0.00,359785592.00,472721.00,1583.00,0.00,31744.00
Myanmar,1181507.00,0.00,4874962.00,3114218.00,12457.00,1973935.00,52271.00,2581.00
Philippines,2699458.00,0.00,25785.00,383486611.00,0.00,3382565.00,0.00,0.00
Australia,5020.00,0.00,1247.00,64175354.00,193484.00,1380868.00,46217.00,63045.00
New Zealand,12066.00,0.00,4633.00,10990357.00,44171.00,130659.00,14409.00,19685.00
